공구번호,보유,위치,공유
266 589 00 31 00,1,09월 04일,
266 589 01 61 00,1,09월 04일,
270 589 00 15 00,-,-,공유
270 589 00 34 00,-,-,공유
270 589 00 63 00,1,09월 04일, -
270 589 00 68 00,-,-,공유
270 589 01 33 00,1,09월 05일,-
270 589 01 61 00,1,09월 05일,공유
270 589 01 63 00,-,-,공유
270 589 01 91 00,-,09월 05일, -
270 589 02 40 00,-,-,공유
270 589 03 91 00,1,09월 05일, -
271 589 00 01 00,-,-,공유
271 589 00 10 00,1,09월 05일, -
271 589 00 15 00,1,09월 05일, -
271 589 00 21 00,1,09월 05일, -
271 589 00 40 00,1,09월 05일,
271 589 00 43 00,1,09월 05일,공유
271 589 00 61 00,1,09월 06일, -
271 589 00 91 00,1,09월 06일, -
271 589 01 01 00,-,-,공유
271 589 01 33 00,1,09월 06일,
271 589 01 40 00,1,09월 06일, -
271 589 01 43 00,1,09월 06일, -
271 589 01 91 00,1,09월 06일, -
271 589 02 33 00,1,09월 06일, -
271 589 02 40 00,1,09월 06일,
271 589 04 63 00,1,09월 06일, -
271 589 05 63 00,1,09월 06일,공유
271 589 06 63 00,-,-,공유
271 589 07 63 00,-,-,공유
271 589 09 63 00,1,09월 07일,
272 589 00 14 00,1,09월 07일,
272 589 00 43 00,1,09월 07일, -
272 589 00 91 00,1,09월 07일, -
272 589 01 33 00,1,09월 07일,
272 589 01 61 00,1,09월 07일,
272 589 02 63 00,1,09월 07일,
273 589 00 43 00,1,09월 07일, -
273 589 00 61 00,-,-,공유
273 589 00 91 00,1,10월 02일,
274 589 00 63 00,1,10월 02일,공유
276 589 00 33 00,1,10월 02일, -
276 589 00 62 00,1,10월 02일, -
276 589 00 63 00,1,10월 02일, -
276 589 01 40 00,1,10월 02일, -
276 589 01 91 00,1,10월 02일, -
276 589 02 91 00,1,10월 02일, -
276 589 03 91 00,1,10월 03일, -
278 589 00 09 00,1,10월 03일, -
278 589 00 33 00,1,10월 03일, -
278 589 00 40 00,1,10월 03일, -
278 589 00 91 00,1,10월 03일, -
